year,opex_specific_variable
2025,1.0
2026,0.9988964054303685
2027,0.997792810860737
2028,0.9966892162911056
2029,0.9955856217214742
2030,0.9944820271518426
2031,0.9921071556106937
2032,0.9897322840695449
2033,0.9873574125283959
2034,0.984982540987247
2035,0.9826076694460982
2036,0.9784635918970981
2037,0.9743195143480979
2038,0.9701754367990979
2039,0.9660313592500978
2040,0.9618872817010976
2041,0.9569506188677566
2042,0.9520139560344153
2043,0.9470772932010744
2044,0.9421406303677332
2045,0.9372039675343922
2046,0.9336729361706119
2047,0.9301419048068316
2048,0.9266108734430514
2049,0.9230798420792709
2050,0.9195488107154907
