time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0005392023473231,0.0008692300580817,1.6406241393996655e-05,0.0004583170694355,6.9885380285570525e-06,4.7648315477652616e-05,0.0069497660184389,0.0005168411810713,1.1146129333763008e-05,4.430025762861179e-05,0.0005295127190297,0.0004015734747894,0.003343737307816,3.226117301221129e-05,4.267032362887371e-05,0.0004001378505119,0.0003260482588555,0.0007071822779977,3.613500372478325e-06,1.729230036744406e-05,0.0004323646614451,9.519463565171112e-06,1.8161618421219878e-05,0.0033500590627836,0.002671713814492,0.0001251756082877,0.0004881048468549,3.968128993871974e-05,0.0058262051419934,4.663620974072756e-05,2.4439451697337585e-05,0.0034077151458989
1,0.0016363874962172,0.0026379655159933,4.979015468003412e-05,0.0013909144228516,2.120902533815463e-05,0.0001446045404856,0.021091358876064,0.001568525156528,3.382660844029752e-05,0.000134443753857,0.0016069811209277,0.0012187072556717,0.0101476745201665,9.790717787592185e-05,0.0001294971811463,0.0012143503799483,0.0009895010594879,0.0021461780405942,1.0966359579951784e-05,5.247919309438549e-05,0.0013121532747537,2.8889954255717285e-05,5.5117425662356987e-05,0.0101668599722227,0.0081081974164428,0.000379886699771,0.0014813152654132,0.0001204259718301,0.017681542545364,0.0001415329715635,7.416958284856923e-05,0.0103418363868455
2,0.0030269243967247,0.0048796035147769,9.209984448431832e-05,0.0025728580852753,3.923161010165131e-05,0.0002674837179365,0.0390139553679152,0.0029013953444074,6.257111263871245e-05,0.0002486886996374,0.002972529655266,0.0022543161281699,0.0187707640434304,0.0001811047970069,0.0002395387265088,0.002246256953035,0.0018303396380579,0.0039699146356268,2.028513505055818e-05,9.707392061173052e-05,0.0024271688513727,5.343948640468069e-05,0.0001019540181086,0.0188062525282943,0.0149982205498547,0.0007026992825271,0.0027400779622706,0.0002227591649133,0.0327066129666776,0.000261802052116,0.0001371959394325,0.0191299169289924
3,0.0028092007622291,0.0045286185303867,8.54751950879538e-05,0.0023877949849304,3.640971975391501e-05,0.0002482438825113,0.0362077207067714,0.0026927008886831,5.807043529345939e-05,0.0002308007710186,0.0027587185799413,0.0020921654311594,0.0174206018212696,0.0001680781106874,0.0002223089462756,0.0020846859444049,0.0016986851445428,0.0036843626594885,1.882604564144703e-05,9.009149091074732e-05,0.0022525850314309,4.959563777133066e-05,9.462056789160645e-05,0.017453537655028,0.0139194135956361,0.0006521548282571,0.0025429869039699,0.0002067363217083,0.0303540591153655,0.000242970893212,0.0001273275731781,0.0177539212001643
4,0.0022475082205959,0.0036231327827602,6.838464740582589e-05,0.0019103614557865,2.912968896946471e-05,0.0001986081501039,0.0289680791176122,0.0021543022002169,4.6459399573873646e-05,0.000184652744353,0.0022071198221549,0.0016738422787719,0.0139373968309632,0.0001344713202955,0.0001778588383516,0.0016678582963551,0.0013590373738667,0.0029476837242086,1.5061825736830383e-05,7.207792662955722e-05,0.0018021863883145,3.967911624383634e-05,7.57014261967848e-05,0.0139637472285993,0.0111362622788278,0.0005217581303965,0.0020345231456526,0.0001653999204266,0.0242848422610082,0.0001943894815927,0.0001018687490314,0.0142040698485069
5,0.0067294943131195,0.0108483925592927,0.0002047574694521,0.0057200086900283,8.722018209614348e-05,0.0005946729824683,0.0867362895038854,0.0064504166312936,0.0001391088416755,0.0005528876742867,0.0066085632770799,0.0050118224230868,0.0417313858317232,0.0004026343382925,0.0005325453452215,0.0049939051690922,0.0040692328486025,0.0088259614257061,4.509815346273733e-05,0.0002158158946472,0.0053961106527694,0.0001188073016443,0.0002266653854334,0.0418102842532799,0.0333442222760414,0.0015622494009816,0.0060917739090402,0.0004952408243501,0.0727137308744214,0.0005820414354531,0.0003050156439961,0.0425298587977297
6,0.0230277427778863,0.0371222534391478,0.0007006622071443,0.0195733709952696,0.0002984598581849,0.002034919094967,0.2968040199261055,0.0220727632841659,0.0004760183269623,0.0018919334137363,0.0226139273168411,0.0171500193383456,0.1428011636512066,0.0013777795989319,0.0018223237373741,0.0170887080574264,0.0139245600012263,0.030201670440894,0.0001543219489275,0.00073850317395,0.0184650201532578,0.0004065482271182,0.0007756291854258,0.1430711471704208,0.114101021261641,0.0053458812336875,0.0208455191595797,0.0016946709196277,0.2488200469583896,0.0019916950424575,0.0010437369386701,0.145533468520006
7,0.0679706696729264,0.1095732417356178,0.0020681349402532,0.0577744482877719,0.0008809598329716,0.0060064425310482,0.8760723180982859,0.0651518699174236,0.0014050567080021,0.0055843936745609,0.0667492163034167,0.0506214747391748,0.4215042185014615,0.0040667729748585,0.0053789277561819,0.0504405030797822,0.0411009310514397,0.0891458526747108,0.0004555099609637,0.0021798295982864,0.0545029444460477,0.0012000027756999,0.0022894139325669,0.4223011251187815,0.3367904053959734,0.0157793636549828,0.0615294304189071,0.0050021367006472,0.7344386891472419,0.0058788586934404,0.0030807838774328,0.429569124969899
8,0.0856393180656952,0.1380562784748251,0.0026057366626428,0.072792638012765,0.0011099611008983,0.0075677883539323,1.1038031000605826,0.0820877848825351,0.001770294435761,0.0070360299288072,0.0841003537724608,0.0637802834222995,0.5310722111166277,0.0051239110335498,0.0067771541339917,0.0635522690511866,0.0517849202317401,0.112318887958346,0.0005739175826393,0.0027464658093699,0.0686707224953406,0.0015119377208198,0.0028845360638432,0.5320762697730707,0.4243374500791262,0.0198811332803683,0.0775237096736255,0.0063024180573204,0.9253524910419632,0.0074070397118856,0.0038816188164794,0.5412335511996975
9,0.0605686350287002,0.097640669417145,0.0018429141714959,0.051482786460178,0.0007850229349653,0.0053523384017625,0.7806676725266676,0.0580568037574828,0.00125204543888,0.0049762508440576,0.0594801984471803,0.0451087747530741,0.375602231025854,0.0036238996797305,0.0047931602509971,0.0449475109838479,0.0366250222952562,0.0794378316553133,0.0004059047337669,0.0019424452340795,0.0485675507689912,0.0010693219664384,0.0020400957880587,0.3763123541758638,0.3001137879581882,0.0140609842863512,0.0548288494507948,0.0044574019006001,0.6544580056070097,0.005238648497973,0.0027452852115838,0.3827888657725463
