year,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,EL,HU,IS,IE,IT,LV,LI,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,CH,UK
2020,1.0101638637661123,1.057670593165335,0.7397899061673417,0.7027986513229467,0.6992677920810982,0.9756235392249889,1.003822452857265,0.7047424893042712,0.8672831461652063,0.9959820333285673,0.9415003985316678,0.680123582613331,0.946796868584745,1.0003049298789837,1.0074682725426187,0.9847705333355847,0.7089717934868033,1.0086959575867307,0.7073614109371911,1.12626983790312,0.837141641133678,1.0044789663759905,1.0000610095238944,0.9348669911525817,0.8700219468366291,0.9216713621970523,0.9711035383691722,0.9719710749741818,0.9809077416101419,1.007189008218584,1.009147698845883,1.0092479185223149
2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022,0.9667909682164898,0.916270824172749,1.0379202615849523,1.0351099878203178,1.0855151038192277,1.027726098014157,0.9686078553313432,1.01112805832667,0.9997510202616711,0.9808574697582564,0.9501952280437924,0.9999931801066932,1.056808435192402,0.9992550092801896,0.9608379366316949,0.9813924581677295,1.0332343951698495,0.9633765645089384,1.0764883340807514,0.8677760328741791,1.0732008259163974,0.9888609317824114,0.9998218562351925,1.0846623890412819,1.0261027670699343,1.088989160851344,1.0333640495937746,0.9937064652244326,0.984693835663293,0.9894802553425347,0.9668323697504048,0.9669950086627779
2023,0.9276060206625906,0.8307877494529042,1.091844065157625,1.0698382041068275,1.1744568537479931,1.0639442515920927,0.9311280828514976,1.0266431348434952,0.999228658055798,0.9570057416167649,0.8981968428217164,0.9999804335839695,1.1195341657007438,0.9976919698790621,0.9115336378313466,0.9546806538570977,1.0826791722539566,0.9168955854711788,1.188697582499552,0.7401499264327114,1.1508049019579913,0.9731304572263134,0.9993866636023367,1.1970760842983235,1.0518978182371623,1.192236133517987,1.075756423864158,0.9779394058980251,0.9607784121782331,0.9752190662903876,0.9268690946458225,0.9245383394831207
2024,0.8826088657806633,0.7454260073282707,1.166588641628583,1.1032212387405191,1.2610768769568736,1.1096521137587114,0.8876345585331229,1.0477479073120022,0.9982357598185955,0.9281008820717298,0.8445441153988317,0.9999575472241642,1.185181803134195,0.9947546757115001,0.853357152268257,0.9234545474955217,1.1538577829477934,0.860206776362033,1.3477128447900635,0.6204736373686826,1.2299383851918446,0.9516585906311884,0.9984528185200596,1.3403692479029747,1.0752262151533851,1.3086074681857007,1.1273402472880998,0.9553280294347519,0.9317121048898108,0.9569085281686491,0.8801492844446605,0.8720581675796083
2025,0.8322036833932154,0.6618708878101728,1.2675247860039809,1.1342429735836055,1.3386399519106835,1.1653196406023265,0.8384534969633932,1.0757444751068894,0.9964955380794583,0.8939425991592385,0.7898161126436107,0.9999179329266766,1.2497149483031844,0.9896777553068221,0.7871868835601528,0.889453618922804,1.252971745846528,0.7936578064423615,1.565023903700306,0.5112168809086676,1.3071229239385371,0.9232936121809224,0.996636704904747,1.5154985217824062,1.093850164746999,1.4357925654237864,1.1873227352808475,0.9266378307887666,0.8991043074741161,0.9343488927924583,0.8270298028534057,0.8096073364887195
2026,0.7770299383924679,0.5815707068516603,1.4002324173481997,1.161879060715682,1.4002095263155323,1.2306456814953064,0.7841647873597825,1.1119409792873125,0.9936411908240759,0.8545031284201049,0.7320939078250827,0.9998517087594255,1.3083584051884496,0.9814651983772726,0.7135173354083616,0.8528662330191131,1.3863749631850166,0.7184056679394164,1.850815103038371,0.41395331110450234,1.3785023170272208,0.887004687726681,0.9933677477161725,1.7203226320084186,1.1057815764990633,1.5702359999567974,1.253755708123472,0.8911837942055535,0.8630296197235948,0.9074548254153202,0.7681958224274013,0.7380009943405714
2027,0.717943063329591,0.5057066414902104,1.569965486193755,1.1851449939669818,1.4396233878137494,1.304348805520587,0.7255878741740256,1.1575161778122658,0.9892085520279993,0.8099501260550926,0.6743907568756281,0.9997446096175343,1.356085579669058,0.9688863442619592,0.6327672040559792,0.8139393046430234,1.559726638326346,0.6364392731281515,2.211587256998877,0.3294180982270631,1.4401455064894455,0.8420346502346588,0.9878422711880851,1.9488911976962442,1.1095981371357777,1.7071923019897892,1.323469284429001,0.8485733838730405,0.8236597206320436,0.8762603995427222,0.7046478372042587,0.6588821980147143
2028,0.6559806371064797,0.4351792778312289,1.7809284979961109,1.2031441744033562,1.4524751840031973,1.384038470359605,0.6637511456268331,1.2133448050869493,0.9826332059574511,0.7606606895754681,0.617291936492903,0.9995767308544774,1.3882320968551618,0.9505004863183737,0.5458397134241769,0.7729722681248474,1.776824553544575,0.5504847018611967,2.6473630622068485,0.25761941655638243,1.4883943583689319,0.7880675030661203,0.9789825158193772,2.1911563442931605,1.1046720179421545,1.8409215800989143,1.3921857936547988,0.7988375225656332,0.7812640370777753,0.8409214177035428,0.6376627148813769,0.5746820653171821
2029,0.5923151794439095,0.3706105884966885,2.035405229620768,1.215112076723957,1.4368842287726082,1.466209541873948,0.5998454417926306,1.2797949595237332,0.9732540292938856,0.7072237892327844,0.5613510518081595,0.9993211104664458,1.4011348126241494,0.9247240187905396,0.454764329176178,0.7303085169916536,2.038206863584656,0.4637826743189531,3.148986952603835,0.19798370568253196,1.5202136912491908,0.7253850185094843,0.9654115730265127,2.4332824439279737,1.0912528539427853,1.9650265879752442,1.4548332168515872,0.7425261894386165,0.7362061092467329,0.8017140707887344,0.5687291429282828,0.4884539337713035
