year,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,EL,HU,IS,IE,IT,LV,LI,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,CH,UK
2020,0.3373668073574978,0.34875654690170144,0.8773076410479913,0.8984280552707324,0.8954198428565185,0.9422966863639943,0.32810806177580243,0.900008477818457,0.0,0.3254148864166407,0.9975064014985169,0.9032375325546861,0.9970051742710384,0.0,0.2979261375045768,0.963974867181241,0.8689645365560793,0.3090615452922154,0.8223873379702755,1.008492863276175,0.0,0.9618267660543844,0.0,0.9196015073156626,0.0,0.9534608905434346,0.9541172916151386,0.951506838477037,0.9589291447039336,0.0,0.3229501232539246,0.3347761326950185
2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
2022,0.9969688531150684,0.9770473287254896,1.0833866298376145,1.0273557569860383,1.0480182280677581,1.0350426587961343,0.9973186706178792,1.0265513557323656,0.0,0.9988962962569183,0.9474295223894807,0.99993041066404,0.9798154935087245,0.0,1.0364832918146418,0.9785892100098056,1.0854314554120084,0.9985536586655597,1.1395850513502563,0.8714465500959894,0.0,0.984089318211518,0.0,1.0608285802800077,0.0,1.0274873325327378,1.0220713854576808,0.991114869245677,0.9827311287369286,0.0,0.9976170272789743,0.9985592806747855
2023,0.9913740875418504,0.9441947538055352,1.1911248207833245,1.0520773890730095,1.0857109159923584,1.0697233619445428,0.9922140724203101,1.0604671979011937,0.0,0.996684186587606,0.8922585791885644,0.9998211259194654,0.9569056448284471,0.0,1.0631805428443415,0.9542442695448532,1.198241431605305,0.9955088547643484,1.3175436933885585,0.7489474803809439,0.0,0.9620115432928804,0.0,1.1183616297377568,0.0,1.0451882114682753,1.0409984058610369,0.9787463168477225,0.9622783433651884,0.0,0.9930129814570638,0.9956192106394186
2024,0.9823743083211778,0.9024769100144313,1.3266540151652257,1.0733456820604648,1.110093736080088,1.103232741788801,0.9838201797346695,1.1026327352748506,0.0,0.9928049681030142,0.8351049416449129,0.9996543659591168,0.9319387474389845,0.0,1.0770146083049843,0.9269608589774564,1.3417533074763779,0.9897947544734539,1.536891295479195,0.634805566248433,0.0,0.9324741392689955,0.0,1.1722631693709942,0.0,1.052768810273538,1.0564550482688029,0.9619828852782887,0.9384455814959815,0.0,0.9852568693333025,0.9901912628939517
2025,0.969214543661487,0.8531735134106609,1.4925527150358828,1.0903954138773497,1.118957876928478,1.1347473165383608,0.9713398283261103,1.1536222563170146,0.0,0.986659554097646,0.7766349769690167,0.9994063472926248,0.9048538931454498,0.0,1.0760471397751032,0.8968002397284865,1.5175074080104776,0.9801210003379696,1.7979498594904566,0.5306349435395968,0.0,0.894327619917813,0.0,1.2222952174603414,0.0,1.050363620157424,1.0680597328245147,0.9398759721492538,0.9111079466090407,0.0,0.9734369629845206,0.9810695592341434
2026,0.9512497750973926,0.7977441903345722,1.6900048227057627,1.1025493563349784,1.1111649172607376,1.1633795027668967,0.9540732892067049,1.2135465206268996,0.0,0.9776317884224618,0.7175359357736903,0.9990459128631476,0.8749785005418129,0.0,1.0597271094869882,0.8638872888132859,1.7244552341151576,0.9650502582570397,2.097350130313043,0.43740353740690346,0.0,0.8467660281103884,0.0,1.2679407197243107,0.0,1.0384908789793146,1.0752361210331263,0.9115343199273663,0.8802232460516529,0.0,0.956705402122877,0.9668930255117962
2027,0.9279737578423276,0.7377569061768413,1.918260824977228,1.1092477772975093,1.0868304975036407,1.1881178696202412,0.9314517275966295,1.281908703773812,0.0,0.9651130616763517,0.658493010857976,0.9985330243910672,0.8412985790076797,0.0,1.0288404077169635,0.8284081239464284,1.958289447604959,0.9430973377903474,2.427202104699274,0.3555047952905453,0.0,0.7895579470135039,0.0,1.3080639198904536,0.0,1.017939003563671,1.0771341479649117,0.8762541790699548,0.8458408366422826,0.0,0.934327227390704,0.9462327771246363
2028,0.8990492581931193,0.6748148743996193,2.174166154936645,1.1100710869023762,1.0473516166881705,1.2077829218014065,0.9030725129010174,1.3574906545135212,0.0,0.948529854929399,0.6001680511572842,0.9978171370017641,0.8028069462372165,0.0,0.9851623876494677,0.7906059898830142,2.2110630862054643,0.9128610703017389,2.7746446658569,0.2848476095878341,0.0,0.7232685898748196,0.0,1.3407249041398912,0.0,0.9896459318306889,1.0726474804800756,0.8336721765469975,0.8081072021863313,0.0,0.9057329168893887,0.9177107591904404
2029,0.8643362192835357,0.6104866539781683,2.4518396791930326,1.1047538077228838,0.9952571781475069,1.2210240826048568,0.8687330200223237,1.438292122070951,0.0,0.9273744102396168,0.5431817573847008,0.9968354848550084,0.7588425980764937,0.0,0.9309015786798269,0.7507752947426874,2.4712368550633963,0.8731886800963323,3.1219975475320467,0.22495477153260302,0.0,0.6494124064920618,0.0,1.3632306011743125,0.0,0.9545923357369488,1.0605370521730608,0.7839109364893778,0.7672677013684369,0.0,0.8705712200572708,0.8801505191157565
2030,0.8239143792912974,0.5462435871386783,2.7425845046444053,1.093188818873417,0.9338957452553549,1.2263760506227828,0.8284592090551557,1.521542857368947,0.0,0.901237785529832,0.48809742108061976,0.995511317910374,0.7093437581981973,0.0,0.8680902589590106,0.7092554807898082,2.7242474486470365,0.823363586003222,3.447697762368312,0.1750621218589152,0.0,0.5704646447936004,0.0,1.3724432430151405,0.0,0.9137245813124493,1.039639757945283,0.7276719857001663,0.723664060301367,0.0,0.8287575405531206,0.8327534704761913
