time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0020005734504454,0.0028779158753896,0.000750444485115,0.0017211753600354,0.0003479823449848,0.0014602726844886,0.0210090155248934,0.0019574908183183,0.0004692041653324,0.0018026640106258,0.0027580495933864,0.0022419459973482,0.0128728135189978,0.0014215932539635,0.0014215822118591,0.0015900498358596,0.0002577395826639,0.0036849249393799,1.3740462098888516e-05,0.000951266004658,7.425390003828623e-05,0.0004345070161929,0.0001280621713646,0.0017372203530458,0.0019072105442909,0.0042777424679008,0.0029382737705068,0.0014178524955346,0.0038899566078689,0.0002465451088014,0.0007533695141365,0.0126396687923912
1,0.0006563582079102,0.0009442011269651,0.0002462096041895,0.0005646918760021,0.0001141677993816,0.0004790936129027,0.006892743566504,0.0006422234410968,0.0001539388643956,0.0005914270826772,0.0009048747937945,0.0007355489280952,0.0042233774572037,0.0004664034706353,0.0004663998478861,0.0005216715539838,8.45604996643315e-05,0.0012089687229211,4.508039970777586e-06,0.0003120961391965,2.4361593296472555e-05,0.0001425552490508,4.20152818079618e-05,0.0005699559980746,0.0006257272356981,0.0014034632817443,0.0009640036490187,0.0004651761837801,0.0012762365447871,8.088776032989166e-05,0.0002471692624345,0.0041468861617178
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0022697867840105,0.0032651914969676,0.000851430360664,0.0019527906282586,0.0003948096619695,0.0016567787798873,0.0238361584638935,0.0022209066046796,0.000532344070265,0.0020452450503223,0.0031291950392125,0.0025436403717711,0.0146050833534494,0.0016128943325558,0.0016128818045365,0.001804019793699,0.0002924231041439,0.0041807982234359,1.558948973920996e-05,0.0010792760470606,8.424610500085172e-05,0.0004929777922899,0.000145295252234,0.0019709947652157,0.0021638602105777,0.0048533900701721,0.0033336716383077,0.0016086501874371,0.0044134206104502,0.0002797222113966,0.0008547490052328,0.0143405647879873
4,0.0033667129079259,0.0048431696039162,0.0012629034610831,0.0028965211450471,0.0005856104170182,0.0024574548336952,0.035355524554585,0.0032942102694162,0.0007896114584174,0.0030336562708437,0.00464144976266,0.0037729124749029,0.0216633222969561,0.002392362228377,0.0023923436459072,0.0026758534186496,0.0004337432247964,0.0062012641202382,2.3123465473809316e-05,0.0016008607612183,0.0001249599526911,0.000731220530631,0.0002155124898085,0.0029235228455165,0.0032095949069838,0.0071989012851579,0.0049447443321728,0.0023860670035326,0.0065463065702826,0.0004149043365556,0.0012678259161724,0.0212709691142692
5,0.0100335432801811,0.0144337082380119,0.0037637294542214,0.0086322686446985,0.0017452475530789,0.0073237546851483,0.1053672218313604,0.0098174695069463,0.0023532154238357,0.0090409614134445,0.0138325388442833,0.0112441071289904,0.0645614543928925,0.0071297644369324,0.0071297090570946,0.0079746303951951,0.0012926499934802,0.0184811279262229,6.891300148374414e-05,0.0047709163722911,0.0003724080810881,0.0021791976453267,0.0006422745131677,0.0087127396375353,0.0095652971583224,0.0214543056060226,0.0147364232184714,0.0071110032854288,0.019509430145836,0.001236505972388,0.0037783994506049,0.0633921558078133
6,0.038240157143047,0.0550102048464484,0.0143444446048919,0.0328995749812833,0.0066515426125768,0.027912525238257,0.401578884751149,0.0374166499519923,0.0089686489693696,0.034457197773517,0.0527190090600925,0.0428538963294419,0.2460586546972374,0.0271731834754474,0.0271729724100599,0.0303931633077558,0.0049265884943439,0.0704358586338568,0.00026264340845,0.0181830672074855,0.0014193334442761,0.0083054269141047,0.0024478569162125,0.0332062685715342,0.036455562729938,0.0817673273398637,0.0561639217437672,0.0271016803821086,0.0743549565407967,0.0047126106273776,0.0144003553585835,0.2416021869876802
7,0.1096021825156725,0.1576677232065514,0.0411133884672641,0.0942952511491521,0.0190643460147749,0.0800015981679356,1.15098696002452,0.107241884017962,0.0257055298591672,0.0987596380742988,0.1511008030493998,0.1228258699209138,0.7052420177251015,0.0778825307560055,0.0778819258100834,0.0871114890983385,0.0141203617264652,0.2018800237864542,0.0007527764774028,0.0521154723113351,0.0040680283459148,0.0238046332577846,0.0070159350940784,0.0951742822349641,0.1044872599527146,0.2343577590802857,0.1609744536019925,0.0776775918731125,0.2131127622526276,0.0135070681894689,0.0412736373022198,0.6924690946052786
8,0.1455281138560781,0.2093488090070706,0.0545897329828959,0.1252038027925131,0.0253133491847493,0.1062249073843646,1.5282630101034511,0.1423941453471934,0.0341314122603424,0.1311315479690057,0.2006293521278513,0.1630863252177174,0.9364096434568072,0.1034112418485714,0.1034104386105609,0.1156653126123902,0.0187488019111681,0.2680532304423937,0.000999525177302,0.0691981328665855,0.0054014662728946,0.0316074306143101,0.009315652095084,0.1263709669219389,0.1387365973367723,0.3111766742565935,0.2137394354201012,0.1031391271114499,0.2829678900312854,0.0179344800643707,0.0548025089528945,0.9194499500693996
9,0.1126781594849026,0.1620926559427672,0.0422672326074958,0.0969416402463864,0.0195993854449113,0.0822468369744802,1.183289322072952,0.110251619388231,0.0264269536119958,0.1015313198531959,0.1553414356676934,0.1262729686778055,0.7250345816546163,0.0800682980957806,0.080067676172097,0.0895562664565221,0.0145166486111866,0.2075457713971459,0.0007739030923508,0.0535780891031795,0.0041821972540058,0.0244727084911537,0.0072128367822717,0.0978453412731898,0.1074196870067703,0.2409349918775272,0.1654921894768536,0.0798576076186272,0.2190937558194697,0.0138861430374236,0.0424319788138939,0.7119031874127361
