year,demand_yearly_variation
2025,1.0
2026,0.9807407407407407
2027,0.9614814814814815
2028,0.9422222222222222
2029,0.922962962962963
2030,0.9037037037037037
2031,0.8844444444444445
2032,0.8651851851851852
2033,0.845925925925926
2034,0.8266666666666667
2035,0.8074074074074074
2036,0.7881481481481482
2037,0.7688888888888888
2038,0.7496296296296296
2039,0.7303703703703703
2040,0.711111111111111
2041,0.6918518518518518
2042,0.6725925925925926
2043,0.6533333333333333
2044,0.634074074074074
2045,0.6148148148148148
2046,0.5955555555555555
2047,0.5762962962962963
2048,0.557037037037037
2049,0.5377777777777777
2050,0.5185185185185185
