node,year_construction,capacity_existing
AT,2006,0.2184114353117405
AT,2007,0.3316268456208257
AT,2008,0.33299583238666797
AT,2009,0.20482457263468798
AT,2010,0.29876756639154756
AT,2011,0.28064156229209186
AT,2012,0.181396814012459
AT,2014,0.13762660953430517
AT,2015,0.023238125775575092
AT,2016,0.020607084881933267
AT,2017,0.1436351288369903
AT,2018,0.16738986113175236
AT,2019,0.03381233135411129
AT,2020,0.23949884252991022
AT,2022,0.12944574003190668
AT,2024,0.12114460583660513
BE,2007,0.00046240159193954434
BE,2008,0.001273648402197259
BE,2010,0.0005420596878437742
BE,2012,0.0004402867914854013
BE,2014,0.004407590260307256
BE,2015,0.0019459771778981543
BE,2018,0.0007384447637666294
BE,2019,0.004720506895895949
BE,2020,0.009007113091578376
BG,2016,0.003342741622180411
BG,2017,0.00013047308779751826
BG,2018,0.27322378785153134
BG,2019,0.09868085164802853
CH,2006,0.2959285916763771
CH,2007,0.449325674026991
CH,2008,0.4511805326110254
CH,2009,0.2775195686708665
CH,2010,0.4048041945909807
CH,2011,0.3802450278137647
CH,2012,0.24577698337392448
CH,2014,0.1864721445493482
CH,2015,0.03148564920215446
CH,2016,0.02792081650377917
CH,2017,0.19461316817645896
CH,2018,0.22679877450061844
CH,2019,0.04581278257997555
CH,2020,0.3245002033746028
CH,2022,0.17538777441516787
CH,2024,0.1641404560308262
CZ,2007,0.014655695832426091
CZ,2008,0.01199269217688258
CZ,2009,0.018610705240745196
CZ,2010,0.002619995298555972
CZ,2011,0.043750786892715575
CZ,2012,0.0031998145978487866
CZ,2013,0.12194523316835515
CZ,2014,0.08731321420348327
CZ,2015,0.028318152095958074
CZ,2017,0.04086908862808993
CZ,2019,0.04552712129490202
CZ,2020,0.09475433916249529
DE,2005,0.08787925421255774
DE,2007,0.14138068178959917
DE,2008,0.05244901510555888
DE,2009,0.29035513400030477
DE,2010,0.14521854914129842
DE,2011,0.2457884489720885
DE,2012,0.17474587894245014
DE,2014,0.2949984618939083
DE,2015,0.33084641974917567
DE,2017,0.052791776327280875
DE,2018,0.07880659799610822
DE,2019,0.32909409813727714
DE,2020,0.15602089230396546
DK,2005,0.2488823961439819
DK,2006,0.032635932098999294
DK,2007,0.24467792124148896
DK,2008,0.1632631813045692
DK,2009,0.3582282385089558
DK,2010,0.7043353774349371
DK,2011,0.4877573629566281
DK,2012,0.5671774933282641
DK,2013,0.24361461177067031
DK,2014,0.8242275369891996
DK,2015,0.032635932098999294
DK,2016,0.2371834994939169
DK,2017,1.4077590907016477
DK,2018,0.21832149698901426
DK,2019,0.6017276203859087
DK,2020,0.7957470748790992
DK,2022,0.07902589323713118
DK,2023,0.053199585018319985
DK,2024,0.04801268551503111
EE,2005,0.05019323992010565
EE,2008,0.008361128280262007
EE,2009,0.18845482554755003
EE,2010,0.05852837467521295
EE,2011,0.1460823716751083
EE,2013,0.10227121641206796
EE,2015,0.168249886509465
EE,2016,0.20678134643313964
EE,2018,0.05479839356712301
EE,2019,0.042224374925683573
EE,2020,0.1907342786233188
EE,2022,0.014371005407996346
EE,2023,0.05869650944363921
