node,year_construction,capacity_existing
DE,2020,0.018757068492315787
DE,2021,0.009316834310634096
DE,2022,0.008206212875669937
DE,2023,0.008761526417594047
DE,2024,0.019312376385355417
ES,2022,0.013080589690867192
ES,2023,0.005799878672496182
ES,2024,0.0017893291990518567
NO,2022,0.0029616420962138602
NO,2023,0.0016659236791203005
NO,2024,0.015486923894040966
DK,2020,0.0009872159150326213
DK,2021,0.00024680539097915607
DK,2022,0.0008638103951010441
DK,2023,0.006355192214420248
DK,2024,0.010674249838809432
SE,2020,0.0024680369631395515
SE,2021,0.0025297340742213444
SE,2023,0.010427450096714308
FR,2020,0.0014191239370251424
FR,2021,0.0016042209191545094
FR,2022,0.000740410524053465
FR,2023,0.0073424024805688335
FR,2024,0.0017276264390861129
AT,2020,0.0032084474871930165
AT,2022,0.0003085025020609442
AT,2023,0.0031467447272271994
AT,2024,0.001665923679120316
CH,2020,0.0011723185460459863
CH,2022,0.0026531395941529214
CH,2023,0.0011723128971619884
CH,2024,0.0032084474871929905
FI,2020,0.004997771037360896
FI,2024,0.00024680539097915585
UK,2020,0.0011723185460459863
UK,2021,0.0017893235501678741
UK,2022,0.0004936107819583178
UK,2023,0.001604220919154504
UK,2024,0.00030850250206093395
