node,year_construction,capacity_existing
AT,2009,0.14348063889141183
AT,2010,0.2842773370609799
AT,2011,0.14348063889141183
AT,2012,0.9265765568395418
AT,2013,0.8169646256912455
AT,2014,0.34603991441591236
AT,2015,0.16525487462943678
AT,2016,0.9360503665816369
AT,2018,0.14859259756401605
AT,2019,0.6793996684935233
AT,2020,0.07393201354307904
AT,2021,0.09295425725600921
AT,2022,0.9648154845577405
AT,2024,0.3112411660461829
BE,2009,3.3017212691152578
BE,2010,1.8018414576707815
BE,2011,1.029191868905202
BE,2012,2.9640946966835644
BE,2014,1.7090320213390673
BE,2016,1.9708727213408013
BE,2017,0.5180923132336888
BE,2018,0.34258290542486886
BE,2019,1.8656136814235331
BE,2020,0.5521318974255224
BE,2021,1.3277742757569158
BE,2022,1.3763662683000433
BE,2023,0.27805277486460456
BG,2010,0.04301777178287558
BG,2011,0.012467728942173063
BG,2014,0.17472207364120695
BG,2017,0.14667068963841584
BG,2018,0.15712515439588262
BG,2020,0.11222749035693992
BG,2022,0.039541761355526846
BG,2023,0.026483611624799716
BG,2024,0.12464037520624502
CH,2009,0.19440384767106528
CH,2010,0.38517118795493954
CH,2011,0.19440384767106528
CH,2012,1.2554310407534464
CH,2013,1.1069163607901678
CH,2014,0.46885413481557975
CH,2015,0.22390605256975255
CH,2016,1.2682672330104432
CH,2018,0.20133010924034844
CH,2019,0.9205277498209753
CH,2020,0.10017147964974762
CH,2021,0.12594497353507209
CH,2022,1.3072414782917101
CH,2024,0.42170484255230445
CZ,2009,0.08462417991551588
CZ,2010,0.08462417991551588
CZ,2011,0.08462417991551588
CZ,2012,0.3843847832738198
CZ,2014,0.16140046973513733
CZ,2015,3.0429547011348754
CZ,2016,1.462394250101714
CZ,2017,1.9463815030885832
CZ,2018,0.47287248211412786
CZ,2019,1.381154124802485
CZ,2022,1.2739202478550027
DE,2009,7.553849339560911
DE,2010,3.2897262135654017
DE,2011,3.2897262135654017
DE,2012,13.650298301705783
DE,2013,8.33873981812509
DE,2014,6.426454723136482
DE,2015,10.83326614563506
DE,2016,17.824022469260754
DE,2017,9.361380465048272
DE,2018,12.168616180148364
DE,2019,3.1264050607584646
DE,2020,7.632862307380097
DE,2021,5.347378159502714
DE,2023,6.575776657548403
DK,2009,0.17068521009317772
DK,2010,0.22651213703053472
DK,2011,0.16142539895106445
DK,2012,0.4907224948090815
DK,2013,0.3850407634056281
DK,2014,0.4208762264002938
DK,2016,0.4629498097822118
DK,2017,0.6000003924437093
DK,2019,0.2866211473349087
DK,2020,0.007754102941025964
DK,2021,0.0013477033312483202
DK,2022,0.03339558901687337
DK,2024,0.35196470225968834
