node,year_construction,capacity_existing
DE,2019,0.0029927682520547944
DE,2020,0.0005816364872146118
DE,2021,0.002161298401141552
DE,2022,0.0017457814803652969
DE,2023,0.0011222880945205482
AT,2019,0.00033245713755707763
AT,2020,0.00020797646506849315
AT,2021,0.00047808426404109594
AT,2022,0.0011013596452054792
AT,2023,0.0004364453700913242
CH,2019,0.00033245713755707763
CH,2020,0.00020797646506849315
CH,2021,0.00047808426404109594
CH,2022,0.0011013596452054792
CH,2023,0.0004364453700913242
SE,2019,0.00040170995768645356
SE,2020,0.0003879029945966514
SE,2021,0.0005265539713089802
SE,2022,0.0005957341232115677
SE,2023,0.0011222880945205482
DK,2019,0.00040170995768645356
DK,2020,0.0003879029945966514
DK,2021,0.0005265539713089802
DK,2022,0.0005957341232115677
DK,2023,0.0011222880945205482
FI,2019,0.00040170995768645356
FI,2020,0.0003879029945966514
FI,2021,0.0005265539713089802
FI,2022,0.0005957341232115677
FI,2023,0.0011222880945205482
ES,2019,0.0004352826784627093
ES,2020,0.00021175521286149167
ES,2021,0.0005033001387366819
ES,2022,0.0007572029231354642
ES,2023,0.0013671800187975644
FR,2019,0.0004352826784627093
FR,2020,0.00021175521286149167
FR,2021,0.0005033001387366819
FR,2022,0.0007572029231354642
FR,2023,0.0013671800187975644
UK,2019,0.0004352826784627093
UK,2020,0.00021175521286149167
UK,2021,0.0005033001387366819
UK,2022,0.0007572029231354642
UK,2023,0.0013671800187975644
