year,opex_specific_fixed
2025,191.8874442363643
2026,188.4761118943845
2027,185.06477955240467
2028,181.65344721042487
2029,178.24211486844504
2030,174.83078252646524
2031,173.12511635547534
2032,171.41945018448544
2033,169.7137840134955
2034,168.0081178425056
2035,166.3024516715157
2036,164.5967855005258
2037,162.89111932953588
2038,161.18545315854598
2039,159.47978698755605
2040,157.77412081656615
2041,156.4948711883237
2042,155.2156215600813
2043,153.93637193183886
2044,152.65712230359645
2045,151.377872675354
2046,150.0986230471116
2047,148.81937341886916
2048,147.54012379062675
2049,146.2608741623843
2050,144.9816245341419
