year,opex_specific_variable
2025,1.0
2026,0.9997611309805544
2027,0.9995222619611088
2028,0.9992833929416631
2029,0.9990445239222174
2030,0.998805654902772
2031,0.9984750706924078
2032,0.9981444864820436
2033,0.9978139022716793
2034,0.9974833180613152
2035,0.9971527338509509
2036,0.9967347986650589
2037,0.9963168634791669
2038,0.9958989282932749
2039,0.9954809931073827
2040,0.9950630579214906
2041,0.9945954780337306
2042,0.9941278981459706
2043,0.9936603182582104
2044,0.9931927383704504
2045,0.9927251584826904
2046,0.9922759478914617
2047,0.9918267373002326
2048,0.991377526709004
2049,0.990928316117775
2050,0.9904791055265463
