node,year_construction,capacity_existing
AT,2010,0.008684080024219594
AT,2011,0.008684080024219594
AT,2012,0.008684080024219594
AT,2013,0.008684080024219594
AT,2014,0.008684080024219594
AT,2015,0.008684080024219594
AT,2016,0.008684080024219594
AT,2017,0.008684080024219594
AT,2018,0.008684080024219594
AT,2019,0.008684080024219594
AT,2020,0.008684080024219594
AT,2021,0.008684080024219594
AT,2022,0.008684080024219594
AT,2023,0.008684080024219594
AT,2024,0.008684080024219594
BE,2010,0.01141354401733702
BE,2011,0.01141354401733702
BE,2012,0.01141354401733702
BE,2013,0.01141354401733702
BE,2014,0.01141354401733702
BE,2015,0.01141354401733702
BE,2016,0.01141354401733702
BE,2017,0.01141354401733702
BE,2018,0.01141354401733702
BE,2019,0.01141354401733702
BE,2020,0.01141354401733702
BE,2021,0.01141354401733702
BE,2022,0.01141354401733702
BE,2023,0.01141354401733702
BE,2024,0.01141354401733702
BG,2010,0.005069318890427033
BG,2011,0.005069318890427033
BG,2012,0.005069318890427033
BG,2013,0.005069318890427033
BG,2014,0.005069318890427033
BG,2015,0.005069318890427033
BG,2016,0.005069318890427033
BG,2017,0.005069318890427033
BG,2018,0.005069318890427033
BG,2019,0.005069318890427033
BG,2020,0.005069318890427033
BG,2021,0.005069318890427033
BG,2022,0.005069318890427033
BG,2023,0.005069318890427033
BG,2024,0.005069318890427033
CH,2010,0.008614718945411094
CH,2011,0.008614718945411094
CH,2012,0.008614718945411094
CH,2013,0.008614718945411094
CH,2014,0.008614718945411094
CH,2015,0.008614718945411094
CH,2016,0.008614718945411094
CH,2017,0.008614718945411094
CH,2018,0.008614718945411094
CH,2019,0.008614718945411094
CH,2020,0.008614718945411094
CH,2021,0.008614718945411094
CH,2022,0.008614718945411094
CH,2023,0.008614718945411094
CH,2024,0.008614718945411094
CZ,2010,0.00879860418732458
CZ,2011,0.00879860418732458
CZ,2012,0.00879860418732458
CZ,2013,0.00879860418732458
CZ,2014,0.00879860418732458
CZ,2015,0.00879860418732458
CZ,2016,0.00879860418732458
CZ,2017,0.00879860418732458
CZ,2018,0.00879860418732458
CZ,2019,0.00879860418732458
CZ,2020,0.00879860418732458
CZ,2021,0.00879860418732458
CZ,2022,0.00879860418732458
CZ,2023,0.00879860418732458
CZ,2024,0.00879860418732458
DE,2010,0.06486343944736395
DE,2011,0.06486343944736395
DE,2012,0.06486343944736395
DE,2013,0.06486343944736395
DE,2014,0.06486343944736395
DE,2015,0.06486343944736395
DE,2016,0.06486343944736395
DE,2017,0.06486343944736395
DE,2018,0.06486343944736395
DE,2019,0.06486343944736395
DE,2020,0.06486343944736395
DE,2021,0.06486343944736395
DE,2022,0.06486343944736395
DE,2023,0.06486343944736395
DE,2024,0.06486343944736395
DK,2010,0.00708128144073221
DK,2011,0.00708128144073221
DK,2012,0.00708128144073221
DK,2013,0.00708128144073221
DK,2014,0.00708128144073221
DK,2015,0.00708128144073221
DK,2016,0.00708128144073221
DK,2017,0.00708128144073221
DK,2018,0.00708128144073221
DK,2019,0.00708128144073221
DK,2020,0.00708128144073221
DK,2021,0.00708128144073221
DK,2022,0.00708128144073221
DK,2023,0.00708128144073221
DK,2024,0.00708128144073221
EE,2010,0.0016141480156967051
EE,2011,0.0016141480156967051
EE,2012,0.0016141480156967051
EE,2013,0.0016141480156967051
EE,2014,0.0016141480156967051
EE,2015,0.0016141480156967051
EE,2016,0.0016141480156967051
EE,2017,0.0016141480156967051
EE,2018,0.0016141480156967051
EE,2019,0.0016141480156967051
EE,2020,0.0016141480156967051
EE,2021,0.0016141480156967051
EE,2022,0.0016141480156967051
EE,2023,0.0016141480156967051
EE,2024,0.0016141480156967051
EL,2010,0.018519347482868757
EL,2011,0.018519347482868757
EL,2012,0.018519347482868757
EL,2013,0.018519347482868757
EL,2014,0.018519347482868757
EL,2015,0.018519347482868757
EL,2016,0.018519347482868757
EL,2017,0.018519347482868757
EL,2018,0.018519347482868757
EL,2019,0.018519347482868757
EL,2020,0.018519347482868757
EL,2021,0.018519347482868757
EL,2022,0.018519347482868757
EL,2023,0.018519347482868757
EL,2024,0.018519347482868757
ES,2010,0.047823342434425584
ES,2011,0.047823342434425584
ES,2012,0.047823342434425584
ES,2013,0.047823342434425584
ES,2014,0.047823342434425584
ES,2015,0.047823342434425584
ES,2016,0.047823342434425584
