node,year_construction,capacity_existing
AT,2010,0.0005414663761673219
AT,2013,0.00018048879205577394
AT,2015,0.0012724459839932064
AT,2016,0.00028156251560700713
AT,2017,0.0011822015879653196
AT,2018,0.008708584216691094
AT,2019,0.009683223693792273
AT,2020,0.03555138210469447
AT,2021,0.020325528730810522
AT,2022,0.027208685402407923
AT,2023,0.03258409285180902
AT,2024,0.07327220816484448
BE,2010,0.0007980280893757263
BE,2013,0.0002660093631252421
BE,2015,0.001875366010032957
BE,2016,0.0004149746064753773
BE,2017,0.0017423613284703358
BE,2018,0.01283495177079293
BE,2019,0.01427140233166924
BE,2020,0.05239660814489544
BE,2021,0.029956325217113396
BE,2022,0.04010091149113025
BE,2023,0.048023335348407775
BE,2024,0.10799060266682585
BG,2021,0.0008561511565986253
BG,2022,0.003485252998370733
BG,2023,0.0064579342617671395
BG,2024,0.016081891904954168
CH,2010,0.0005149023637513131
CH,2013,0.00017163412125043769
CH,2015,0.0012100205548155859
CH,2016,0.0002677492291506826
CH,2017,0.001124203494190367
CH,2018,0.00828134635033362
CH,2019,0.009208170605085985
CH,2020,0.033807252834249166
CH,2021,0.019328370603672547
CH,2022,0.025873843778503484
CH,2023,0.03098553699464465
CH,2024,0.06967751801766192
CZ,2021,0.0015353116276472707
CZ,2022,0.006250005518826502
CZ,2023,0.011580830658529419
CZ,2024,0.028839201402630327
DE,2009,0.0013
DE,2012,0.00131
DE,2013,0.03152
DE,2014,0.05683
DE,2015,0.08335000000000001
DE,2016,0.27506
DE,2017,0.25664
DE,2018,0.34752999999999995
DE,2019,0.347
DE,2020,0.678
DE,2021,0.93
DE,2022,1.599
DE,2023,2.5356243205578886
DE,2024,3.1639204258075995
DK,2006,1.2009028790334349e-05
DK,2011,4.003009596778117e-06
DK,2021,0.0036507447522616428
DK,2022,0.005066809397121901
DK,2023,0.01222610654666705
DK,2024,0.011724386531473709
EE,2021,0.00020139997777035025
EE,2022,0.0008198667618281172
EE,2023,0.0015191567595721138
EE,2024,0.00378308508631891
EL,2021,0.006900000000000001
EL,2022,0.047700000000000006
EL,2023,0.06420892777918867
EL,2024,0.12141840969011403
ES,2005,0.000830599078061381
ES,2012,0.0024087373263780056
ES,2013,0.001794094008612583
ES,2016,0.0036878599065925323
ES,2017,0.0014120184327043477
ES,2018,0.000830599078061381
ES,2019,0.0041529953903069045
ES,2020,0.005814193546429668
ES,2021,0.04511089909633352
ES,2022,0.1068721451253103
ES,2023,0.13803720887057852
ES,2024,0.21024325727156354
FI,2006,2.9393949295318946e-05
FI,2011,9.797983098439649e-06
FI,2021,0.00893576058577696
FI,2022,0.012401797106849985
FI,2023,0.02992528056899536
FI,2024,0.028697243485854253
FR,2009,0.001
FR,2012,0.003800000000000001
FR,2013,0.002
FR,2014,0.006109999999999999
FR,2015,0.009550000000000001
FR,2016,0.009800000000000001
FR,2017,0.0218
FR,2018,0.012
FR,2019,0.033
FR,2020,0.027
FR,2021,0.1913652
FR,2022,0.297
FR,2023,0.382
FR,2024,0.2982150302616684
HR,2021,0.00041236962363958555
HR,2022,0.0016786900959600759
HR,2023,0.003110497370107011
HR,2024,0.007745926243451267
HU,2021,0.0010268101866287166
HU,2022,0.004179978329904989
HU,2023,0.007745212552074879
HU,2024,0.019287540875226973
IE,2006,1.0304563472323976e-05
IE,2011,3.434854490774659e-06
IE,2021,0.0031325872955864894
IE,2022,0.004347667071698025
IE,2023,0.010490830951369445
IE,2024,0.01006032105484423
IT,2011,0.001
IT,2012,0.00248
IT,2013,0.00031000000000000005
IT,2014,0.04401000000000001
IT,2015,0.057
IT,2016,0.012
IT,2017,0.0215
IT,2018,0.035
IT,2019,0.049
IT,2020,0.065
IT,2021,0.2184
IT,2022,0.742
IT,2023,1.75
IT,2024,1.227171408606671
LT,2006,4.674086783841444e-06
LT,2011,1.5580289279471482e-06
LT,2021,0.0014209223822877993
LT,2022,0.0019720751155491026
LT,2023,0.004758576569789604
LT,2024,0.004563299921432212
LU,2010,4.704952518926758e-05
LU,2013,1.5683175063089193e-05
LU,2015,0.00011056638419477884
LU,2016,2.4465753098419123e-05
LU,2017,0.00010272479666323424
LU,2018,0.0007567131967940536
LU,2019,0.0008414023421347354
LU,2020,0.003089158849876978
LU,2021,0.0017661419399197143
LU,2022,0.002364238640760696
LU,2023,0.0028313228020771506
LU,2024,0.0063668267420908115
LV,2006,2.6168990378400586e-06
LV,2011,8.722996792800196e-07
LV,2021,0.000795537307503378
LV,2022,0.0011041133190486847
LV,2023,0.0026642026609391013
LV,2024,0.0025548723688774066
NL,2010,0.0010985536455163719
NL,2013,0.00036618454850545723
NL,2015,0.002581601066963474
NL,2016,0.0005712478956685129
NL,2017,0.0023985087927107453
NL,2018,0.01766840446538831
NL,2019,0.019645801027317784
NL,2020,0.07212839454723399
NL,2021,0.04123743350848387
NL,2022,0.05520232068719768
NL,2023,0.06610821200306147
NL,2024,0.14865826381368982
NO,2006,4.386738552120881e-05
NO,2011,1.4622461840402938e-05
NO,2021,0.01333568519844748
NO,2022,0.01850838107449002
NO,2023,0.044660341703709604
NO,2024,0.04282762519395259
PL,2021,0.004457404856489855
PL,2022,0.01814537482230679
PL,2023,0.03362213239967407
PL,2024,0.08372762511175784
PT,2005,0.00016940092193861909
PT,2012,0.0004912626736219953
PT,2013,0.00036590599138741723
PT,2016,0.0007521400934074688
PT,2017,0.00028798156729565244
PT,2018,0.00016940092193861909
PT,2019,0.0008470046096930954
PT,2020,0.0011858064535703336
PT,2021,0.009200380903666483
PT,2022,0.021796604874689693
PT,2023,0.028152728629421482
PT,2024,0.04287917306181886
RO,2021,0.0016411313700801244
RO,2022,0.006680780589044417
RO,2023,0.01237902725612962
RO,2024,0.030826913088936043
SE,2006,4.713408709913243e-05
SE,2011,1.5711362366377477e-05
SE,2021,0.01432876247813626
SE,2022,0.01988665691524229
SE,2023,0.04798609287352986
SE,2024,0.04601689825268471
SI,2021,0.00033632892014492217
SI,2022,0.0013691406807541336
SI,2023,0.002536923579308197
SI,2024,0.0063175822360260125
SK,2021,0.0007330922810005471
SK,2022,0.002984300203004245
SK,2023,0.005529703162837563
SK,2024,0.01377036137665835
UK,2011,0.0005
UK,2012,0.0005
UK,2013,0.011210000000000001
UK,2014,0.0065
UK,2015,0.00049
UK,2016,0.033769999999999994
UK,2017,0.250233834556
UK,2018,0.21880000000000002
UK,2019,0.4938
UK,2020,0.29368
UK,2021,0.4968936
UK,2022,0.65475
UK,2023,1.0468160325735334
UK,2024,1.263254422541301
