edge,capacity_limit
AT-CH,3.3
AT-CZ,2.4
AT-DE,11.92
AT-HU,2.4
AT-IT,1.795
AT-SI,2.95
AT-SK,0.0
BE-DE,3.5
BE-FR,3.8
BE-LU,0.68
BE-NL,5.401
BE-NO,0.0
BE-UK,5.55
BG-EL,1.75
BG-RO,2.2
CH-AT,1.2
CH-DE,8.2
CH-FR,3.8
CH-IT,7.91
CZ-AT,1.9
CZ-DE,4.2
CZ-PL,2.3
CZ-SK,3.0
DE-AT,8.5
DE-BE,1.0
DE-CH,4.2
DE-CZ,2.6
DE-DK,6.1
DE-FR,4.7
DE-LU,6.220000000000001
DE-NL,5.0
DE-NO,3.444
DE-PL,3.5
DE-SE,3.515
DE-UK,2.8
DK-DE,6.1
DK-NL,2.7
DK-NO,3.1100000000000003
DK-SE,5.415
DK-UK,2.8
EE-FI,2.716
EE-LV,2.3440000000000003
EL-BG,0.75
EL-IT,2.5
ES-FR,11.0
ES-PT,6.2
FI-EE,1.5
FI-NO,1.0
FI-SE,7.8
FR-BE,3.8
FR-CH,3.2
FR-DE,3.3
FR-ES,11.0
FR-IT,5.095000000000001
FR-LU,0.38
FR-NO,0.0
FR-UK,10.615
HR-HU,2.0
HR-SI,3.1
HU-AT,0.8
HU-HR,1.7
HU-RO,3.7270000000000003
HU-SI,1.2
HU-SK,2.8
IE-UK,3.004
IT-AT,1.45
IT-CH,3.75
IT-EL,0.5
IT-FR,4.17
IT-SI,2.825
LT-LV,2.234
LT-PL,1.2
LT-SE,2.3
LU-BE,0.68
LU-DE,4.82
LU-FR,0.38
LV-EE,1.159
LV-LT,1.152
NL-BE,3.4
NL-DE,5.0
NL-DK,0.7
NL-NO,2.7
NL-UK,5.061
NO-BE,0.0
NO-DE,1.444
NO-DK,1.64
NO-FI,1.0
NO-FR,0.0
NO-NL,0.7
NO-SE,4.695
NO-UK,3.45
PL-CZ,2.1
PL-DE,3.5
PL-LT,1.2
PL-SE,1.27
PL-SK,1.99
PT-ES,6.2
RO-BG,1.5
RO-HU,1.5
SE-DE,3.515
SE-DK,5.415
SE-FI,4.7
SE-LT,0.7
SE-NO,4.695
SE-PL,0.6
SI-AT,0.95
SI-HR,3.0
SI-HU,1.2
SI-IT,1.805
SK-AT,0.0
SK-CZ,2.3
SK-HU,2.8
SK-PL,1.99
UK-BE,1.0
UK-DE,0.0
UK-DK,2.8
UK-FR,7.4
UK-IE,3.004
UK-NL,3.0
UK-NO,2.8
AL-EL,1.0
AL-ME,1.0
AL-MK,1.5
AL-RS,1.0
BA-HR,2.498
BA-ME,1.0
BA-RS,3.31
BG-MK,1.0
BG-RS,1.49
BG-TR,2.1
CY-EL,1.0
CY-IL,1.0
EL-MK,1.5
EL-TR,1.6
FR-IE,2.1
HR-RS,1.6
HU-RS,1.5
IT-ME,1.6
IT-TN,0.6
LV-SE,0.5
ME-RS,1.24
MK-RS,1.0
RO-RS,2.524
